"AWR Corporation",
"AWR Corporation",
"October 31, 2012",
"Base Wages","500-6000-??",42166680
"Variable Compensation","500-6001-??",5240442
"Miscellaneous compensation","500-6002-??",496912
"Payroll Tax","500-6010-??",5567872
"Vacation","500-6020-??",766912
"Other Employee Benefits","500-6040-??",1037066
"Professional Memberships","500-6045-??",166666
"Telephone - Cell","500-6200-??",869470
"Telephone - Land","500-6210-??",146691
"Internet Connectivity","500-6230-??",155662
"Rent - Corporate Office","500-6300-??",7904760
"Bank Charges","500-6400-??",294306
"Books & Subscriptions","500-6405-??",10945
"Office Supplies","500-6435-??",597195
"Postage & Delivery","500-6460-??",145645
"Printing","500-7135-??",59706
"Airfare","500-7500-??",2375649
"Lodging","500-7505-??",1190969
"Business Meals","500-7510-??",931487
"Employee Meals","500-7515-??",735652
"Ground Transport","500-7520-??",1632604
"Attendance Fees","500-7540-??",116193
"Other T&E","500-7590-??",12826
"Media - print","600-7210-??",834449
"Booth Space","600-7300-??",1173938
"Booth Setup & Furnishing","600-7305-??",160000
"Other Tradeshow","600-7390-??",297753
"Airfare","600-7500-??",425400
"Lodging","600-7505-??",123189
"Business Meals","600-7510-??",268538
"Employee Meals","600-7515-??",5279
"Ground Transport","600-7520-??",35331
"Workers Compensation","800-6150-??",606866
"Other Tax / License","800-6445-??",7900
"Tax Planning/Preparation","800-6501-??",50000
"Bookkeeping","800-6509-??",1878704
"Depreciation","800-7800-??",420392
"Interest Income","800-9000-??",-6145
"Other Income","800-9010-??",-892307
"Income Tax Expense","800-9200-??",829228
"Total Net Income","",-4014726
"Total Assets","",34889030
"Total Liabilities and Equity","",34889030


"61.9H TB--full acct# - CO Cur=Home -NI upload",
"TB CO Home-NI",
"TB detail -NI upload",
"CO TB - NI upload-Apr-Dec-Home Currency",
"AWR Korea",
"AWR Korea",
"October 31, 2012",
"Retained Earnings  000-3900","",-5155186
"Other Expenses","500-7650-??",5155186
"Total Net Income","",5155186
